galaxy,formula_family,audit_lane,primary_blocker,scale_radius_source_status,scale_radius_kpc,s4g_match_status,s4g_name,s4g_disk_component_source,s4g_model_components,s4g_model_quality_values,s4g_component_support_status,missing_required_fields,manifest_confidence,manifest_caveat,endpoint_eligibility_status,next_action,audit_claim_boundary
ESO444-G084,K_scale_tail_spiral,NO_S4G_MATCH_EXTERNAL_SOURCE_NEEDED,family_label_and_kernel_fields,MISSING_OR_UNACCEPTED_SOURCE_OBSERVABLE,,NO_S4G_MATCH,,,,,NO_ACCEPTED_SCALE_TO_AUDIT,scale_radius_kpc;tail_inner_radius_kpc;tail_cutoff_radius_kpc,0.6000000000000001,few_rotation_points;low_inclination,BLOCKED_NOT_ENDPOINT_ELIGIBLE,crossmatch NED/NED-D/DustPedia or other residual-blind morphology source,accepted_manifest_audit_not_endpoint_score_not_family_validation
ESO563-G021,K_thick_flared,NO_S4G_MATCH_EXTERNAL_SOURCE_NEEDED,family_label_and_kernel_fields,MISSING_OR_UNACCEPTED_SOURCE_OBSERVABLE,,NO_S4G_MATCH,,,,,NO_ACCEPTED_SCALE_TO_AUDIT,scale_radius_kpc;thickness_h_over_rs,0.9,vertical_geometry_proxy_only,BLOCKED_NOT_ENDPOINT_ELIGIBLE,crossmatch NED/NED-D/DustPedia or other residual-blind morphology source,accepted_manifest_audit_not_endpoint_score_not_family_validation
F563-V1,K_scale_tail_spiral,NO_S4G_MATCH_EXTERNAL_SOURCE_NEEDED,family_label_and_kernel_fields,MISSING_OR_UNACCEPTED_SOURCE_OBSERVABLE,,NO_S4G_MATCH,,,,,NO_ACCEPTED_SCALE_TO_AUDIT,scale_radius_kpc;tail_inner_radius_kpc;tail_cutoff_radius_kpc,0.8,few_rotation_points,BLOCKED_NOT_ENDPOINT_ELIGIBLE,crossmatch NED/NED-D/DustPedia or other residual-blind morphology source,accepted_manifest_audit_not_endpoint_score_not_family_validation
F563-V2,K_scale_tail_spiral,NO_S4G_MATCH_EXTERNAL_SOURCE_NEEDED,family_label_and_kernel_fields,MISSING_OR_UNACCEPTED_SOURCE_OBSERVABLE,,NO_S4G_MATCH,,,,,NO_ACCEPTED_SCALE_TO_AUDIT,scale_radius_kpc;tail_inner_radius_kpc;tail_cutoff_radius_kpc,0.8,low_inclination,BLOCKED_NOT_ENDPOINT_ELIGIBLE,crossmatch NED/NED-D/DustPedia or other residual-blind morphology source,accepted_manifest_audit_not_endpoint_score_not_family_validation
F565-V2,K_scale_tail_spiral,NO_S4G_MATCH_EXTERNAL_SOURCE_NEEDED,family_label_and_kernel_fields,MISSING_OR_UNACCEPTED_SOURCE_OBSERVABLE,,NO_S4G_MATCH,,,,,NO_ACCEPTED_SCALE_TO_AUDIT,scale_radius_kpc;tail_inner_radius_kpc;tail_cutoff_radius_kpc,0.65,few_rotation_points;large_distance_error,BLOCKED_NOT_ENDPOINT_ELIGIBLE,crossmatch NED/NED-D/DustPedia or other residual-blind morphology source,accepted_manifest_audit_not_endpoint_score_not_family_validation
F567-2,K_scale_tail_spiral,NO_S4G_MATCH_EXTERNAL_SOURCE_NEEDED,family_label_and_kernel_fields,MISSING_OR_UNACCEPTED_SOURCE_OBSERVABLE,,NO_S4G_MATCH,,,,,NO_ACCEPTED_SCALE_TO_AUDIT,scale_radius_kpc;tail_inner_radius_kpc;tail_cutoff_radius_kpc,0.6000000000000001,few_rotation_points;low_inclination,BLOCKED_NOT_ENDPOINT_ELIGIBLE,crossmatch NED/NED-D/DustPedia or other residual-blind morphology source,accepted_manifest_audit_not_endpoint_score_not_family_validation
F568-3,K_exponential_disk,NO_S4G_MATCH_EXTERNAL_SOURCE_NEEDED,family_label_and_kernel_fields,MISSING_OR_UNACCEPTED_SOURCE_OBSERVABLE,,NO_S4G_MATCH,,,,,NO_ACCEPTED_SCALE_TO_AUDIT,scale_radius_kpc,1.0,none,BLOCKED_NOT_ENDPOINT_ELIGIBLE,crossmatch NED/NED-D/DustPedia or other residual-blind morphology source,accepted_manifest_audit_not_endpoint_score_not_family_validation
F568-V1,K_exponential_disk,NO_S4G_MATCH_EXTERNAL_SOURCE_NEEDED,family_label_and_kernel_fields,MISSING_OR_UNACCEPTED_SOURCE_OBSERVABLE,,NO_S4G_MATCH,,,,,NO_ACCEPTED_SCALE_TO_AUDIT,scale_radius_kpc,1.0,none,BLOCKED_NOT_ENDPOINT_ELIGIBLE,crossmatch NED/NED-D/DustPedia or other residual-blind morphology source,accepted_manifest_audit_not_endpoint_score_not_family_validation
F571-8,K_thick_flared,NO_S4G_MATCH_EXTERNAL_SOURCE_NEEDED,family_label_and_kernel_fields,MISSING_OR_UNACCEPTED_SOURCE_OBSERVABLE,,NO_S4G_MATCH,,,,,NO_ACCEPTED_SCALE_TO_AUDIT,scale_radius_kpc;thickness_h_over_rs,0.75,large_distance_error;vertical_geometry_proxy_only,BLOCKED_NOT_ENDPOINT_ELIGIBLE,crossmatch NED/NED-D/DustPedia or other residual-blind morphology source,accepted_manifest_audit_not_endpoint_score_not_family_validation
F571-V1,K_scale_tail_spiral,NO_S4G_MATCH_EXTERNAL_SOURCE_NEEDED,family_label_and_kernel_fields,MISSING_OR_UNACCEPTED_SOURCE_OBSERVABLE,,NO_S4G_MATCH,,,,,NO_ACCEPTED_SCALE_TO_AUDIT,scale_radius_kpc;tail_inner_radius_kpc;tail_cutoff_radius_kpc,0.6000000000000001,few_rotation_points;low_inclination,BLOCKED_NOT_ENDPOINT_ELIGIBLE,crossmatch NED/NED-D/DustPedia or other residual-blind morphology source,accepted_manifest_audit_not_endpoint_score_not_family_validation
F574-1,K_exponential_disk,NO_S4G_MATCH_EXTERNAL_SOURCE_NEEDED,family_label_and_kernel_fields,MISSING_OR_UNACCEPTED_SOURCE_OBSERVABLE,,NO_S4G_MATCH,,,,,NO_ACCEPTED_SCALE_TO_AUDIT,scale_radius_kpc,1.0,none,BLOCKED_NOT_ENDPOINT_ELIGIBLE,crossmatch NED/NED-D/DustPedia or other residual-blind morphology source,accepted_manifest_audit_not_endpoint_score_not_family_validation
F574-2,K_scale_tail_spiral,NO_S4G_MATCH_EXTERNAL_SOURCE_NEEDED,family_label_and_kernel_fields,MISSING_OR_UNACCEPTED_SOURCE_OBSERVABLE,,NO_S4G_MATCH,,,,,NO_ACCEPTED_SCALE_TO_AUDIT,scale_radius_kpc;tail_inner_radius_kpc;tail_cutoff_radius_kpc,0.6000000000000001,few_rotation_points;low_inclination,BLOCKED_NOT_ENDPOINT_ELIGIBLE,crossmatch NED/NED-D/DustPedia or other residual-blind morphology source,accepted_manifest_audit_not_endpoint_score_not_family_validation
F579-V1,K_thick_flared,NO_S4G_MATCH_EXTERNAL_SOURCE_NEEDED,family_label_and_kernel_fields,MISSING_OR_UNACCEPTED_SOURCE_OBSERVABLE,,NO_S4G_MATCH,,,,,NO_ACCEPTED_SCALE_TO_AUDIT,scale_radius_kpc;thickness_h_over_rs,0.7000000000000001,low_inclination;vertical_geometry_proxy_only,BLOCKED_NOT_ENDPOINT_ELIGIBLE,crossmatch NED/NED-D/DustPedia or other residual-blind morphology source,accepted_manifest_audit_not_endpoint_score_not_family_validation
F583-1,K_scale_tail_spiral,NO_S4G_MATCH_EXTERNAL_SOURCE_NEEDED,family_label_and_kernel_fields,MISSING_OR_UNACCEPTED_SOURCE_OBSERVABLE,,NO_S4G_MATCH,,,,,NO_ACCEPTED_SCALE_TO_AUDIT,scale_radius_kpc;tail_inner_radius_kpc;tail_cutoff_radius_kpc,0.85,large_distance_error,BLOCKED_NOT_ENDPOINT_ELIGIBLE,crossmatch NED/NED-D/DustPedia or other residual-blind morphology source,accepted_manifest_audit_not_endpoint_score_not_family_validation
F583-4,K_thick_flared,NO_S4G_MATCH_EXTERNAL_SOURCE_NEEDED,family_label_and_kernel_fields,MISSING_OR_UNACCEPTED_SOURCE_OBSERVABLE,,NO_S4G_MATCH,,,,,NO_ACCEPTED_SCALE_TO_AUDIT,scale_radius_kpc;thickness_h_over_rs,0.75,large_distance_error;vertical_geometry_proxy_only,BLOCKED_NOT_ENDPOINT_ELIGIBLE,crossmatch NED/NED-D/DustPedia or other residual-blind morphology source,accepted_manifest_audit_not_endpoint_score_not_family_validation
KK98-251,K_scale_tail_spiral,NO_S4G_MATCH_EXTERNAL_SOURCE_NEEDED,family_label_and_kernel_fields,MISSING_OR_UNACCEPTED_SOURCE_OBSERVABLE,,NO_S4G_MATCH,,,,,NO_ACCEPTED_SCALE_TO_AUDIT,scale_radius_kpc;tail_inner_radius_kpc;tail_cutoff_radius_kpc,0.85,large_distance_error,BLOCKED_NOT_ENDPOINT_ELIGIBLE,crossmatch NED/NED-D/DustPedia or other residual-blind morphology source,accepted_manifest_audit_not_endpoint_score_not_family_validation
NGC0055,K_scale_tail_spiral,PARTIAL_SCALE_READY_KERNEL_BLOCKED,family_label_and_kernel_fields,ACCEPTED_SOURCE_OBSERVABLE,3.3935538234529914,S4G_MATCHED,NGC0055,D:expdisk_hr3,D,5.0,S4G_EXPDISK_SUPPORT,tail_inner_radius_kpc;tail_cutoff_radius_kpc,1.0,none,BLOCKED_NOT_ENDPOINT_ELIGIBLE,collect family-specific kernel observables before endpoint eligibility,accepted_manifest_audit_not_endpoint_score_not_family_validation
NGC0100,K_exponential_disk,NEAR_TERM_EXPONENTIAL_DISK_FAMILY_LABEL_AUDIT_POOL,external_family_label_audit_only,ACCEPTED_SOURCE_OBSERVABLE,1.2193294483812045,S4G_MATCHED,NGC0100,Z:edgedisk_hr2,Z,4.0,S4G_EDGEDISK_SUPPORT_CAVEATED,,0.85,large_distance_error,BLOCKED_FAMILY_LABEL_AUDIT_PENDING,audit external morphology family label; do not score endpoint yet,accepted_manifest_audit_not_endpoint_score_not_family_validation
NGC0247,K_exponential_disk,NEAR_TERM_EXPONENTIAL_DISK_FAMILY_LABEL_AUDIT_POOL,external_family_label_audit_only,ACCEPTED_SOURCE_OBSERVABLE,4.0018082876406345,S4G_MATCHED,NGC0247,D:expdisk_hr3,D;BAR,5.0,S4G_EXPDISK_WITH_BAR_CAVEAT,,1.0,none,BLOCKED_FAMILY_LABEL_AUDIT_PENDING,audit external morphology family label; do not score endpoint yet,accepted_manifest_audit_not_endpoint_score_not_family_validation
NGC0289,K_thick_flared,PARTIAL_SCALE_READY_KERNEL_BLOCKED,family_label_and_kernel_fields,ACCEPTED_SOURCE_OBSERVABLE,1.9129565642148376,S4G_MATCHED,NGC0289,D:expdisk_hr3,N;D;BAR,5.0,S4G_EXPDISK_WITH_BAR_CAVEAT,thickness_h_over_rs,0.75,large_distance_error;vertical_geometry_proxy_only,BLOCKED_NOT_ENDPOINT_ELIGIBLE,collect family-specific kernel observables before endpoint eligibility,accepted_manifest_audit_not_endpoint_score_not_family_validation
NGC0300,K_exponential_disk,NEAR_TERM_EXPONENTIAL_DISK_FAMILY_LABEL_AUDIT_POOL,external_family_label_audit_only,ACCEPTED_SOURCE_OBSERVABLE,1.534398989732565,S4G_MATCHED,NGC0300,D:expdisk_hr3,D,5.0,S4G_EXPDISK_SUPPORT,,1.0,none,BLOCKED_FAMILY_LABEL_AUDIT_PENDING,audit external morphology family label; do not score endpoint yet,accepted_manifest_audit_not_endpoint_score_not_family_validation
NGC0801,K_thick_flared,NO_S4G_MATCH_EXTERNAL_SOURCE_NEEDED,family_label_and_kernel_fields,MISSING_OR_UNACCEPTED_SOURCE_OBSERVABLE,,NO_S4G_MATCH,,,,,NO_ACCEPTED_SCALE_TO_AUDIT,scale_radius_kpc;thickness_h_over_rs,0.9,vertical_geometry_proxy_only,BLOCKED_NOT_ENDPOINT_ELIGIBLE,crossmatch NED/NED-D/DustPedia or other residual-blind morphology source,accepted_manifest_audit_not_endpoint_score_not_family_validation
NGC0891,K_compact_finite,NO_S4G_MATCH_EXTERNAL_SOURCE_NEEDED,family_label_and_kernel_fields,MISSING_OR_UNACCEPTED_SOURCE_OBSERVABLE,,NO_S4G_MATCH,,,,,NO_ACCEPTED_SCALE_TO_AUDIT,compact_support_radius_kpc,1.0,none,BLOCKED_NOT_ENDPOINT_ELIGIBLE,crossmatch NED/NED-D/DustPedia or other residual-blind morphology source,accepted_manifest_audit_not_endpoint_score_not_family_validation
NGC1003,K_scale_tail_spiral,NO_S4G_MATCH_EXTERNAL_SOURCE_NEEDED,family_label_and_kernel_fields,MISSING_OR_UNACCEPTED_SOURCE_OBSERVABLE,,NO_S4G_MATCH,,,,,NO_ACCEPTED_SCALE_TO_AUDIT,scale_radius_kpc;tail_inner_radius_kpc;tail_cutoff_radius_kpc,0.85,large_distance_error,BLOCKED_NOT_ENDPOINT_ELIGIBLE,crossmatch NED/NED-D/DustPedia or other residual-blind morphology source,accepted_manifest_audit_not_endpoint_score_not_family_validation
NGC1090,K_thick_flared,PARTIAL_SCALE_READY_KERNEL_BLOCKED,family_label_and_kernel_fields,ACCEPTED_SOURCE_OBSERVABLE,4.552686926761032,S4G_MATCHED,NGC1090,D:expdisk_hr3,B;D,5.0,S4G_EXPDISK_SUPPORT,thickness_h_over_rs,0.75,large_distance_error;vertical_geometry_proxy_only,BLOCKED_NOT_ENDPOINT_ELIGIBLE,collect family-specific kernel observables before endpoint eligibility,accepted_manifest_audit_not_endpoint_score_not_family_validation
NGC1705,K_scale_tail_spiral,PARTIAL_SCALE_READY_KERNEL_BLOCKED,family_label_and_kernel_fields,ACCEPTED_SOURCE_OBSERVABLE,0.3205788659317764,S4G_MATCHED,NGC1705,D:expdisk_hr3,D;N,5.0,S4G_EXPDISK_SUPPORT,tail_inner_radius_kpc;tail_cutoff_radius_kpc,1.0,none,BLOCKED_NOT_ENDPOINT_ELIGIBLE,collect family-specific kernel observables before endpoint eligibility,accepted_manifest_audit_not_endpoint_score_not_family_validation
NGC2366,K_scale_tail_spiral,NO_S4G_MATCH_EXTERNAL_SOURCE_NEEDED,family_label_and_kernel_fields,MISSING_OR_UNACCEPTED_SOURCE_OBSERVABLE,,NO_S4G_MATCH,,,,,NO_ACCEPTED_SCALE_TO_AUDIT,scale_radius_kpc;tail_inner_radius_kpc;tail_cutoff_radius_kpc,1.0,none,BLOCKED_NOT_ENDPOINT_ELIGIBLE,crossmatch NED/NED-D/DustPedia or other residual-blind morphology source,accepted_manifest_audit_not_endpoint_score_not_family_validation
NGC2403,K_exponential_disk,NO_S4G_MATCH_EXTERNAL_SOURCE_NEEDED,family_label_and_kernel_fields,MISSING_OR_UNACCEPTED_SOURCE_OBSERVABLE,,NO_S4G_MATCH,,,,,NO_ACCEPTED_SCALE_TO_AUDIT,scale_radius_kpc,1.0,none,BLOCKED_NOT_ENDPOINT_ELIGIBLE,crossmatch NED/NED-D/DustPedia or other residual-blind morphology source,accepted_manifest_audit_not_endpoint_score_not_family_validation
NGC2841,K_compact_finite,PARTIAL_SCALE_READY_KERNEL_BLOCKED,family_label_and_kernel_fields,ACCEPTED_SOURCE_OBSERVABLE,3.847225572870269,S4G_MATCHED,NGC2841,D:expdisk_hr3,B;D,5.0,S4G_EXPDISK_SUPPORT,compact_support_radius_kpc,1.0,none,BLOCKED_NOT_ENDPOINT_ELIGIBLE,collect family-specific kernel observables before endpoint eligibility,accepted_manifest_audit_not_endpoint_score_not_family_validation
NGC2903,K_thick_flared,PARTIAL_SCALE_READY_KERNEL_BLOCKED,family_label_and_kernel_fields,ACCEPTED_SOURCE_OBSERVABLE,1.7563522457599674,S4G_MATCHED,NGC2903,D:expdisk_hr3,B;D;BAR,5.0,S4G_EXPDISK_WITH_BAR_CAVEAT,thickness_h_over_rs,0.75,large_distance_error;vertical_geometry_proxy_only,BLOCKED_NOT_ENDPOINT_ELIGIBLE,collect family-specific kernel observables before endpoint eligibility,accepted_manifest_audit_not_endpoint_score_not_family_validation
NGC2915,K_scale_tail_spiral,NO_S4G_MATCH_EXTERNAL_SOURCE_NEEDED,family_label_and_kernel_fields,MISSING_OR_UNACCEPTED_SOURCE_OBSERVABLE,,NO_S4G_MATCH,,,,,NO_ACCEPTED_SCALE_TO_AUDIT,scale_radius_kpc;tail_inner_radius_kpc;tail_cutoff_radius_kpc,1.0,none,BLOCKED_NOT_ENDPOINT_ELIGIBLE,crossmatch NED/NED-D/DustPedia or other residual-blind morphology source,accepted_manifest_audit_not_endpoint_score_not_family_validation
NGC2955,K_compact_finite,NO_S4G_MATCH_EXTERNAL_SOURCE_NEEDED,family_label_and_kernel_fields,MISSING_OR_UNACCEPTED_SOURCE_OBSERVABLE,,NO_S4G_MATCH,,,,,NO_ACCEPTED_SCALE_TO_AUDIT,compact_support_radius_kpc,1.0,none,BLOCKED_NOT_ENDPOINT_ELIGIBLE,crossmatch NED/NED-D/DustPedia or other residual-blind morphology source,accepted_manifest_audit_not_endpoint_score_not_family_validation
NGC2976,K_thick_flared,PARTIAL_SCALE_READY_KERNEL_BLOCKED,family_label_and_kernel_fields,ACCEPTED_SOURCE_OBSERVABLE,1.0398167379523204,S4G_MATCHED,NGC2976,D:expdisk_hr3,D,5.0,S4G_EXPDISK_SUPPORT,thickness_h_over_rs,0.9,vertical_geometry_proxy_only,BLOCKED_NOT_ENDPOINT_ELIGIBLE,collect family-specific kernel observables before endpoint eligibility,accepted_manifest_audit_not_endpoint_score_not_family_validation
NGC2998,K_thick_flared,NO_S4G_MATCH_EXTERNAL_SOURCE_NEEDED,family_label_and_kernel_fields,MISSING_OR_UNACCEPTED_SOURCE_OBSERVABLE,,NO_S4G_MATCH,,,,,NO_ACCEPTED_SCALE_TO_AUDIT,scale_radius_kpc;thickness_h_over_rs,0.9,vertical_geometry_proxy_only,BLOCKED_NOT_ENDPOINT_ELIGIBLE,crossmatch NED/NED-D/DustPedia or other residual-blind morphology source,accepted_manifest_audit_not_endpoint_score_not_family_validation
NGC3109,K_scale_tail_spiral,NO_S4G_MATCH_EXTERNAL_SOURCE_NEEDED,family_label_and_kernel_fields,MISSING_OR_UNACCEPTED_SOURCE_OBSERVABLE,,NO_S4G_MATCH,,,,,NO_ACCEPTED_SCALE_TO_AUDIT,scale_radius_kpc;tail_inner_radius_kpc;tail_cutoff_radius_kpc,1.0,none,BLOCKED_NOT_ENDPOINT_ELIGIBLE,crossmatch NED/NED-D/DustPedia or other residual-blind morphology source,accepted_manifest_audit_not_endpoint_score_not_family_validation
NGC3198,K_thick_flared,PARTIAL_SCALE_READY_KERNEL_BLOCKED,family_label_and_kernel_fields,ACCEPTED_SOURCE_OBSERVABLE,3.6074756974350737,S4G_MATCHED,NGC3198,D:expdisk_hr3,B;D,5.0,S4G_EXPDISK_SUPPORT,thickness_h_over_rs,0.9,vertical_geometry_proxy_only,BLOCKED_NOT_ENDPOINT_ELIGIBLE,collect family-specific kernel observables before endpoint eligibility,accepted_manifest_audit_not_endpoint_score_not_family_validation
NGC3521,K_thick_flared,PARTIAL_SCALE_READY_KERNEL_BLOCKED,family_label_and_kernel_fields,ACCEPTED_SOURCE_OBSERVABLE,1.4577606192294683,S4G_MATCHED,NGC3521,D:expdisk_hr3,B;D,4.0,S4G_EXPDISK_SUPPORT,thickness_h_over_rs,0.75,large_distance_error;vertical_geometry_proxy_only,BLOCKED_NOT_ENDPOINT_ELIGIBLE,collect family-specific kernel observables before endpoint eligibility,accepted_manifest_audit_not_endpoint_score_not_family_validation
NGC3741,K_scale_tail_spiral,NO_S4G_MATCH_EXTERNAL_SOURCE_NEEDED,family_label_and_kernel_fields,MISSING_OR_UNACCEPTED_SOURCE_OBSERVABLE,,NO_S4G_MATCH,,,,,NO_ACCEPTED_SCALE_TO_AUDIT,scale_radius_kpc;tail_inner_radius_kpc;tail_cutoff_radius_kpc,1.0,none,BLOCKED_NOT_ENDPOINT_ELIGIBLE,crossmatch NED/NED-D/DustPedia or other residual-blind morphology source,accepted_manifest_audit_not_endpoint_score_not_family_validation
NGC3769,K_thick_flared,PARTIAL_SCALE_READY_KERNEL_BLOCKED,family_label_and_kernel_fields,ACCEPTED_SOURCE_OBSERVABLE,1.64846187677828,S4G_MATCHED,NGC3769,D:expdisk_hr3,D;BAR,5.0,S4G_EXPDISK_WITH_BAR_CAVEAT,thickness_h_over_rs,0.9,vertical_geometry_proxy_only,BLOCKED_NOT_ENDPOINT_ELIGIBLE,collect family-specific kernel observables before endpoint eligibility,accepted_manifest_audit_not_endpoint_score_not_family_validation
NGC3877,K_thick_flared,PARTIAL_SCALE_READY_KERNEL_BLOCKED,family_label_and_kernel_fields,ACCEPTED_SOURCE_OBSERVABLE,3.4958913277542885,S4G_MATCHED,NGC3877,D:expdisk_hr3,B;D,5.0,S4G_EXPDISK_SUPPORT,thickness_h_over_rs,0.9,vertical_geometry_proxy_only,BLOCKED_NOT_ENDPOINT_ELIGIBLE,collect family-specific kernel observables before endpoint eligibility,accepted_manifest_audit_not_endpoint_score_not_family_validation
NGC3893,K_thick_flared,PARTIAL_SCALE_READY_KERNEL_BLOCKED,family_label_and_kernel_fields,ACCEPTED_SOURCE_OBSERVABLE,2.1301723377859454,S4G_MATCHED,NGC3893,D:expdisk_hr3,B;D,5.0,S4G_EXPDISK_SUPPORT,thickness_h_over_rs,0.9,vertical_geometry_proxy_only,BLOCKED_NOT_ENDPOINT_ELIGIBLE,collect family-specific kernel observables before endpoint eligibility,accepted_manifest_audit_not_endpoint_score_not_family_validation
NGC3917,K_exponential_disk,NEAR_TERM_EXPONENTIAL_DISK_FAMILY_LABEL_AUDIT_POOL,external_family_label_audit_only,ACCEPTED_SOURCE_OBSERVABLE,3.360628171466791,S4G_MATCHED,NGC3917,D:expdisk_hr3,B;D,5.0,S4G_EXPDISK_SUPPORT,,1.0,none,BLOCKED_FAMILY_LABEL_AUDIT_PENDING,audit external morphology family label; do not score endpoint yet,accepted_manifest_audit_not_endpoint_score_not_family_validation
NGC3953,K_thick_flared,PARTIAL_SCALE_READY_KERNEL_BLOCKED,family_label_and_kernel_fields,ACCEPTED_SOURCE_OBSERVABLE,4.151261699788311,S4G_MATCHED,NGC3953,D:expdisk_hr3,B;D;BAR,5.0,S4G_EXPDISK_WITH_BAR_CAVEAT,thickness_h_over_rs,0.9,vertical_geometry_proxy_only,BLOCKED_NOT_ENDPOINT_ELIGIBLE,collect family-specific kernel observables before endpoint eligibility,accepted_manifest_audit_not_endpoint_score_not_family_validation
NGC3992,K_thick_flared,PARTIAL_SCALE_READY_KERNEL_BLOCKED,family_label_and_kernel_fields,ACCEPTED_SOURCE_OBSERVABLE,7.719031378239964,S4G_MATCHED,NGC3992,D:expdisk_hr3,B;D;BAR;N,5.0,S4G_EXPDISK_WITH_BAR_CAVEAT,thickness_h_over_rs,0.9,vertical_geometry_proxy_only,BLOCKED_NOT_ENDPOINT_ELIGIBLE,collect family-specific kernel observables before endpoint eligibility,accepted_manifest_audit_not_endpoint_score_not_family_validation
NGC4010,K_exponential_disk,NEAR_TERM_EXPONENTIAL_DISK_FAMILY_LABEL_AUDIT_POOL,external_family_label_audit_only,ACCEPTED_SOURCE_OBSERVABLE,2.301214530367252,S4G_MATCHED,NGC4010,Z:edgedisk_hr2,Z,4.0,S4G_EDGEDISK_SUPPORT_CAVEATED,,1.0,none,BLOCKED_FAMILY_LABEL_AUDIT_PENDING,audit external morphology family label; do not score endpoint yet,accepted_manifest_audit_not_endpoint_score_not_family_validation
NGC4051,K_thick_flared,PARTIAL_SCALE_READY_KERNEL_BLOCKED,family_label_and_kernel_fields,ACCEPTED_SOURCE_OBSERVABLE,3.905170533052142,S4G_MATCHED,NGC4051,D:expdisk_hr3,B;D;BAR,5.0,S4G_EXPDISK_WITH_BAR_CAVEAT,thickness_h_over_rs,0.7000000000000001,few_rotation_points;vertical_geometry_proxy_only,BLOCKED_NOT_ENDPOINT_ELIGIBLE,collect family-specific kernel observables before endpoint eligibility,accepted_manifest_audit_not_endpoint_score_not_family_validation
NGC4068,K_scale_tail_spiral,PARTIAL_SCALE_READY_KERNEL_BLOCKED,family_label_and_kernel_fields,ACCEPTED_SOURCE_OBSERVABLE,0.6491493822643865,S4G_MATCHED,NGC4068,D:expdisk_hr3,D,5.0,S4G_EXPDISK_SUPPORT,tail_inner_radius_kpc;tail_cutoff_radius_kpc,0.8,few_rotation_points,BLOCKED_NOT_ENDPOINT_ELIGIBLE,collect family-specific kernel observables before endpoint eligibility,accepted_manifest_audit_not_endpoint_score_not_family_validation
NGC4085,K_thick_flared,PARTIAL_SCALE_READY_KERNEL_BLOCKED,family_label_and_kernel_fields,ACCEPTED_SOURCE_OBSERVABLE,1.3962620900298162,S4G_MATCHED,NGC4085,D:expdisk_hr3,D;N,5.0,S4G_EXPDISK_SUPPORT,thickness_h_over_rs,0.7000000000000001,few_rotation_points;vertical_geometry_proxy_only,BLOCKED_NOT_ENDPOINT_ELIGIBLE,collect family-specific kernel observables before endpoint eligibility,accepted_manifest_audit_not_endpoint_score_not_family_validation
NGC4100,K_thick_flared,PARTIAL_SCALE_READY_KERNEL_BLOCKED,family_label_and_kernel_fields,ACCEPTED_SOURCE_OBSERVABLE,4.380772374047512,S4G_MATCHED,NGC4100,D:expdisk_hr3,B;D,5.0,S4G_EXPDISK_SUPPORT,thickness_h_over_rs,0.9,vertical_geometry_proxy_only,BLOCKED_NOT_ENDPOINT_ELIGIBLE,collect family-specific kernel observables before endpoint eligibility,accepted_manifest_audit_not_endpoint_score_not_family_validation
NGC4138,K_compact_finite,PARTIAL_SCALE_READY_KERNEL_BLOCKED,family_label_and_kernel_fields,ACCEPTED_SOURCE_OBSERVABLE,1.382299482445311,S4G_MATCHED,NGC4138,D:expdisk_hr3,B;D,5.0,S4G_EXPDISK_SUPPORT,compact_support_radius_kpc,0.8,few_rotation_points,BLOCKED_NOT_ENDPOINT_ELIGIBLE,collect family-specific kernel observables before endpoint eligibility,accepted_manifest_audit_not_endpoint_score_not_family_validation
NGC4157,K_thick_flared,PARTIAL_SCALE_READY_KERNEL_BLOCKED,family_label_and_kernel_fields,ACCEPTED_SOURCE_OBSERVABLE,3.124136359862749,S4G_MATCHED,NGC4157,D:expdisk_hr3,D;N,3.0,S4G_EXPDISK_SUPPORT,thickness_h_over_rs,0.9,vertical_geometry_proxy_only,BLOCKED_NOT_ENDPOINT_ELIGIBLE,collect family-specific kernel observables before endpoint eligibility,accepted_manifest_audit_not_endpoint_score_not_family_validation
NGC4217,K_compact_finite,PARTIAL_SCALE_READY_KERNEL_BLOCKED,family_label_and_kernel_fields,ACCEPTED_SOURCE_OBSERVABLE,2.520252999266957,S4G_MATCHED,NGC4217,Z:edgedisk_hr2,Z;N,4.0,S4G_EDGEDISK_SUPPORT_CAVEATED,compact_support_radius_kpc,1.0,none,BLOCKED_NOT_ENDPOINT_ELIGIBLE,collect family-specific kernel observables before endpoint eligibility,accepted_manifest_audit_not_endpoint_score_not_family_validation
NGC4559,K_exponential_disk,NEAR_TERM_EXPONENTIAL_DISK_FAMILY_LABEL_AUDIT_POOL,external_family_label_audit_only,ACCEPTED_SOURCE_OBSERVABLE,2.1554796680624935,S4G_MATCHED,NGC4559,D:expdisk_hr3,D;BAR;N,5.0,S4G_EXPDISK_WITH_BAR_CAVEAT,,0.85,large_distance_error,BLOCKED_FAMILY_LABEL_AUDIT_PENDING,audit external morphology family label; do not score endpoint yet,accepted_manifest_audit_not_endpoint_score_not_family_validation
NGC5005,K_compact_finite,PARTIAL_SCALE_READY_KERNEL_BLOCKED,family_label_and_kernel_fields,ACCEPTED_SOURCE_OBSERVABLE,3.148701937592276,S4G_MATCHED,NGC5005,D:expdisk_hr3,B;D;BAR,5.0,S4G_EXPDISK_WITH_BAR_CAVEAT,compact_support_radius_kpc,1.0,none,BLOCKED_NOT_ENDPOINT_ELIGIBLE,collect family-specific kernel observables before endpoint eligibility,accepted_manifest_audit_not_endpoint_score_not_family_validation
